SAMPLE NAME,Sampled Distance,Equivalent RL4_06 Distance,Age MARCH 2018,d13C,d18O
RL4 1502,77.3,80.46,3.61,-8.70,-4.42
RL4 1503,77.5,80.77,3.61,-7.19,-4.05
RL4 1504,77.7,81.08,3.61,-6.75,-3.98
RL4 1505,77.9,81.39,3.62,-7.98,-4.04
RL4 1506,78.1,81.70,3.62,-7.74,-3.93
RL4 1507,78.3,82.00,3.62,-7.35,-3.97
RL4 1508,78.5,82.31,3.62,-7.21,-3.90
RL4 1509,78.7,82.62,3.62,-7.33,-4.06
RL4 1510,78.9,82.93,3.62,-7.14,-4.05
RL4 1511,79.1,83.24,3.63,-7.58,-4.26
RL4 1512,79.3,83.54,3.63,-7.43,-4.05
RL4 1513,79.5,83.85,3.63,-7.10,-4.11
RL4 1514,79.7,84.16,3.63,-6.79,-4.10
RL4 1515,79.9,84.47,3.64,-7.67,-4.74
RL4 1516,80.1,84.78,3.64,-8.31,-4.79
RL4 1517,80.3,85.08,3.64,-8.72,-4.83
RL4 1518,80.5,85.39,3.65,-8.23,-4.57
RL4 1519,80.7,85.70,3.65,-7.58,-4.36
RL4 1520,80.9,85.86,3.66,-8.34,-4.66
RL4 1521,81.1,86.02,3.66,-8.01,-4.70
RL4 1522,81.3,86.18,3.67,-8.35,-4.65
RL4 1523,81.5,86.34,3.67,-7.15,-4.21
RL4 1524,81.7,86.50,3.68,-7.30,-4.07
RL4 1525,81.9,86.66,3.68,-7.89,-4.32
RL4 1526,82.1,86.82,3.69,-7.83,-4.44
RL4 1527,82.3,86.98,3.69,-7.97,-4.41
RL4 1528,82.5,87.15,3.70,-7.93,-4.58
RL4 1529,82.7,87.31,3.70,-7.70,-4.46
RL4 1530,82.9,87.47,3.71,-7.36,-4.36
RL4 1531,83.1,87.63,3.72,-7.51,-4.43
RL4 1532,83.3,87.79,3.72,-7.59,-4.28
RL4 1533,83.5,87.95,3.73,-7.52,-4.18
RL4 1534,83.7,88.11,3.73,-7.66,-4.50
RL4 1535,83.9,88.27,3.74,-7.66,-4.56
RL4 1536,84.1,88.43,3.75,-7.55,-4.27
RL4 1537,84.3,88.59,3.75,-7.18,-4.01
RL4 1538,84.5,88.75,3.76,-7.50,-3.99
RL4 1539,84.7,88.91,3.76,-8.28,-4.24
RL4 1540,84.9,89.07,3.77,-8.37,-4.45
RL4 1541,85.1,89.23,3.77,-8.06,-4.35
RL4 1542,85.3,89.39,3.78,-7.91,-4.53
RL4 1543,85.5,89.55,3.78,-7.73,-4.23
RL4 1544,85.7,89.71,3.79,-7.36,-4.24
RL4 1545,85.9,89.88,3.79,-7.05,-4.11
RL4 1546,86.1,90.04,3.80,-7.59,-4.26
RL4 1547,86.3,90.20,3.80,-8.06,-4.61
RL4 1700,86.5,90.36,3.80,-7.36,-4.13
RL4 1701,86.7,90.52,3.81,-7.33,-4.48
RL4 1702,86.9,90.68,3.81,-7.53,-4.04
RL4 1703,87.1,90.84,3.82,-7.76,-4.31
RL4 1704,87.3,91.00,3.82,-7.93,-4.56
RL4 1705,87.5,91.30,3.83,-7.80,-4.29
RL4 1706,87.7,91.59,3.84,-7.69,-4.21
RL4 1707,87.9,91.89,3.85,-7.40,-4.08
RL4 1708,88.1,92.18,3.86,-7.21,-4.22
RL4 1709,88.3,92.48,3.87,-7.08,-4.45
RL4 1710,88.5,92.77,3.87,-7.09,-4.04
RL4 1711,88.7,93.07,3.88,-6.48,-3.83
RL4 1712,88.9,93.36,3.89,-6.18,-3.65
RL4 1713,89.1,93.66,3.90,-5.65,-3.46
RL4 1714,89.3,93.95,3.91,-5.46,-3.48
RL4 1715,89.5,94.25,3.92,-5.40,-3.48
RL4 1716,89.7,94.54,3.93,-5.21,-3.65
RL4 1717,89.9,94.84,3.93,-5.06,-3.66
RL4 1718,90.1,95.14,3.94,-5.38,-3.80
RL4 1719,90.3,95.43,3.95,-5.52,-3.83
RL4 1720,90.5,95.73,3.96,-5.68,-3.83
RL4 1721,90.7,96.02,3.97,-5.83,-4.01
RL4 1722,90.9,96.32,3.98,-6.14,-4.00
RL4 1723,91.1,96.61,3.99,-6.20,-3.94
RL4 1724,91.3,96.91,3.99,-6.08,-3.96
RL4 1725,91.5,97.20,4.00,-5.88,-3.92
RL4 1726,91.7,97.50,4.01,-5.54,-3.72
RL4 1727,91.9,97.84,4.02,-5.52,-3.64
RL4 1728,92.1,98.17,4.03,-5.58,-3.63
RL4 1729,92.3,98.51,4.04,-5.90,-3.65
RL4 1730,92.5,98.84,4.05,-6.21,-3.90
RL4 1731,92.7,99.18,4.06,-6.14,-3.79
RL4 1732,92.9,99.51,4.07,-6.06,-3.75
RL4 1733,93.1,99.85,4.08,-6.81,-4.32
RL4 1734,93.3,100.19,4.09,-7.66,-4.14
RL4 1735,93.5,100.52,4.10,-7.21,-3.89
RL4 1736,93.7,100.86,4.11,-6.23,-3.74
RL4 1737,93.9,101.19,4.12,-6.09,-3.95
RL4 1738,94.1,101.53,4.13,-7.07,-4.27
RL4 1739,94.3,101.86,4.15,-8.20,-4.75
RL4 1740,94.5,102.20,4.16,-7.90,-4.36
RL4 1741,94.7,102.41,4.17,-7.23,-3.88
RL4 1742,94.9,102.61,4.18,-7.45,-4.13
RL4 1743,95.1,102.82,4.18,-7.75,-4.24
RL4 1744,95.3,103.03,4.19,-7.73,-3.98
RL4 1745,95.5,103.23,4.20,-7.62,-4.41
RL4 1746,95.7,103.44,4.21,-7.26,-4.16
RL4 1747,95.9,103.64,4.21,-7.08,-3.97
RL4 1748,96.1,103.85,4.22,-7.27,-3.94
RL4 1749,96.3,104.06,4.24,-7.57,-4.09
RL4 1750,96.5,104.26,4.25,-7.63,-4.23
RL4 1751,96.7,104.47,4.27,-7.82,-3.89
RL4 1752,96.9,104.68,4.28,-7.58,-4.06
RL4 1753,97.1,104.88,4.30,-7.70,-4.36
RL4 1754,97.3,105.09,4.31,-7.89,-4.63
RL4 1755,97.5,105.29,4.33,-8.54,-4.67
RL4 1756,97.7,105.50,4.34,-8.37,-4.81
RL4 1757,97.9,105.75,4.36,-8.09,-4.70
RL4 1758,98.1,106.00,4.37,-7.96,-4.44
RL4 1759,98.3,106.24,4.39,-8.15,-4.77
RL4 1760,98.5,106.49,4.41,-8.34,-4.50
RL4 1761,98.7,106.74,4.43,-8.05,-4.50
RL4 1762,98.9,106.99,4.44,-7.81,-4.58
RL4 1763,99.1,107.24,4.46,-7.78,-4.29
RL4 1764,99.3,107.48,4.48,-7.95,-4.35
RL4 1765,99.5,107.73,4.49,-8.13,-4.47
RL4 1766,99.7,107.98,4.51,-8.32,-4.59
RL4 1767,99.9,108.23,4.52,-8.32,-4.44
RL4 1768,100.1,108.47,4.53,-8.34,-4.91
RL4 1769,100.3,108.72,4.55,-8.11,-4.67
RL4 1770,100.5,108.97,4.56,-8.10,-4.61
RL4 1771,100.7,109.22,4.58,-7.68,-4.39
RL4 1772,100.9,109.47,4.60,-7.46,-4.34
RL4 1773,101.1,109.71,4.62,-7.26,-4.76
RL4 1774,101.3,109.96,4.63,-6.96,-4.32
RL4 1775,101.5,110.21,4.65,-6.72,-4.03
RL4 1776,101.7,110.46,4.67,-6.79,-4.29
RL4 1777,101.9,110.70,4.69,-6.61,
RL4 1778,102.1,110.95,4.71,-7.26,-4.06
RL4 1779,102.3,111.20,4.73,-7.76,-4.46
RL4 1780,102.5,111.45,4.75,-8.12,-4.46
RL4 1781,102.7,111.70,4.78,-7.69,-3.83
RL4 1782,102.9,111.94,4.80,-7.47,-3.98
RL4 1783,103.1,112.19,4.82,-7.29,-3.91
RL4 1784,103.3,112.44,4.85,-7.22,-3.78
RL4 1785,103.5,112.69,4.87,-7.21,-3.83
RL4 1786,103.7,112.94,4.90,-7.13,-3.60
RL4 1787,103.9,113.18,4.93,,
RL4 1788,104.1,113.43,4.96,-6.90,-3.93
RL4 1789,104.3,113.68,4.99,-6.84,-3.62
RL4 1790,104.5,113.93,5.01,-6.79,-3.64
RL4 1791,104.7,114.17,5.04,-7.01,-4.06
RL4 1792,104.9,114.42,5.06,-7.09,-3.72
RL4 1793,105.1,114.67,5.09,-7.18,-4.10
RL4 1794,105.3,114.92,5.11,-7.01,-3.72
RL4 1795,105.5,115.17,5.14,-6.69,-3.64
RL4 1796,105.7,115.41,5.16,-6.52,-3.77
RL4 1797,105.9,115.66,5.19,-6.64,-3.84
RL4 1798,106.1,115.91,5.21,-6.60,-3.81
RL4 1799,106.3,116.16,5.24,-6.65,-3.42
RL4 1800,106.5,116.40,5.27,-6.79,-3.86
RL4 1801,106.7,116.65,5.29,-6.86,-3.71
RL4 1802,106.9,116.90,5.32,-6.50,-3.58
RL4 1803,107.1,117.10,5.33,-6.17,-3.90
RL4 1804,107.3,117.30,5.34,-5.96,-3.78
RL4 1805,107.5,117.50,5.35,-5.55,-3.67
RL4 1806,107.7,117.69,5.36,-6.05,-3.48
RL4 1807,107.9,117.89,5.37,-6.48,-3.81
RL4 1808,108.1,118.09,5.38,-6.75,-4.12
RL4 1809,108.3,118.29,5.39,-7.05,-4.68
RL4 1810,108.5,118.49,5.40,-7.21,-3.82
RL4 1811,108.7,118.69,5.40,-7.54,-4.36
RL4 1812,108.9,118.89,5.41,-7.78,-4.02
RL4 1813,109.1,119.09,5.42,-7.94,-3.78
RL4 1814,109.3,119.28,5.42,-7.93,-3.96
RL4 1815,109.5,119.48,5.43,-7.62,-4.07
RL4 2000,109.7,119.68,5.44,-6.58,-3.82
RL4 2001,109.9,119.88,5.44,-6.69,-3.89
RL4 2002,110.1,120.08,5.45,-6.70,-3.82
RL4 2003,110.3,120.28,5.46,-6.75,-3.85
RL4 2004,110.5,120.48,5.46,-7.14,-3.85
RL4 2005,110.7,120.67,5.47,-7.29,-3.78
RL4 2006,110.9,120.87,5.48,-7.06,-4.04
RL4 2007,111.1,121.07,5.49,-6.81,-4.02
RL4 2008,111.3,121.27,5.49,-6.08,-3.49
RL4 2009,111.5,121.47,5.50,-5.93,-3.73
RL4 2010,111.7,121.67,5.50,-6.63,-3.82
RL4 2011,111.9,121.87,5.51,-6.66,-3.67
RL4 2012,112.1,122.06,5.51,-6.41,-3.95
RL4 2013,112.3,122.26,5.52,-6.57,-3.85
RL4 2014,112.5,122.46,5.53,-6.59,-3.97
RL4 2015,112.7,122.66,5.53,-7.23,-4.15
RL4 2016,112.9,122.86,5.54,-6.89,-3.99
RL4 2017,113.1,123.06,5.54,-6.16,-3.75
RL4 2018,113.3,123.26,5.55,-6.84,-3.99
RL4 2019,113.5,123.45,5.55,-6.12,-3.82
RL4 2020,113.7,123.65,5.56,-5.77,-3.49
RL4 2021,113.9,123.85,5.57,-5.27,-3.39
RL4 2022,114.1,124.05,5.57,-6.17,-3.73
RL4 2023,114.3,124.25,5.58,-6.78,-4.13
RL4 2024,114.5,124.45,5.58,-6.31,-4.11
RL4 2025,114.7,124.65,5.59,-6.60,-3.83
RL4 2026,114.9,124.85,5.59,-7.34,-3.89
RL4 2027,115.1,125.04,5.60,-7.32,-3.76
RL4 2028,115.3,125.24,5.61,-7.39,-3.91
RL4 2029,115.5,125.44,5.61,-7.57,-3.71
RL4 2030,115.7,125.64,5.62,-7.42,-3.79
RL4 2031,115.9,125.84,5.62,-7.44,-4.11
RL4 2032,116.1,126.04,5.62,-7.80,-4.14
RL4 2033,116.3,126.24,5.63,-7.36,-3.97
RL4 2034,116.5,126.43,5.63,-7.29,-3.92
RL4 2035,116.7,126.63,5.64,-6.72,-3.85
RL4 2036,116.9,126.83,5.64,-5.89,-3.67
RL4 2037,117.1,127.03,5.65,-5.98,-3.84
RL4 2038,117.3,127.23,5.65,-6.61,-3.98
RL4 2039,117.5,127.43,5.66,-6.93,-3.96
RL4 2040,117.7,127.63,5.66,-6.43,-4.10
RL4 2041,117.9,127.82,5.67,-6.12,-3.84
RL4 2042,118.1,128.02,5.67,-6.35,-3.78
RL4 2043,118.3,128.22,5.68,-7.10,-3.87
RL4 2044,118.5,128.42,5.69,-7.24,-4.02
RL4 2045,118.7,128.62,5.69,-6.92,-4.02
RL4 2046,118.9,128.82,5.70,-6.77,-3.64
RL4 2047,119.1,129.02,5.70,-6.90,-4.06
RL4 2048,119.3,129.21,5.71,-6.67,-3.67
RL4 2049,119.5,129.41,5.71,-6.61,-4.02
RL4 2050,119.7,129.61,5.72,-6.19,-3.92
RL4 2051,119.9,129.81,5.72,-6.25,-4.15
RL4 2052,120.1,130.01,5.73,-6.07,-4.16
RL4 2053,120.3,130.21,5.73,-5.90,-3.96
RL4 2054,120.5,130.41,5.74,-5.54,-3.92
RL4 2055,120.7,130.60,5.74,-5.32,-3.74
RL4 2056,120.9,130.80,5.75,-5.06,-3.83
RL4 2057,121.1,131.00,5.75,-4.81,-3.66
RL4 2058,121.3,131.20,5.76,-5.20,-3.73
RL4 2059,121.5,131.54,5.77,-5.28,-3.95
RL4 2060,121.7,131.87,5.78,-4.60,-3.72
RL4 2061,121.9,132.20,5.79,-4.75,-3.53
RL4 2062,122.1,132.54,5.79,-5.20,-3.75
RL4 2063,122.3,132.87,5.80,-5.44,-3.82
RL4 2064,122.5,133.21,5.81,-5.40,-3.88
RL4 2065,122.7,133.54,5.82,-5.99,-4.15
RL4 2066,122.9,133.88,5.83,-6.12,-3.96
RL4 2067,123.1,134.21,5.84,-6.56,-4.20
RL4 2068,123.3,134.55,5.86,-6.34,-3.98
RL4 2069,123.5,134.88,5.87,-6.02,-3.84
RL4 2070,123.7,135.22,5.89,-5.96,-3.78
RL4 2071,123.9,135.55,5.90,-5.76,-3.71
RL4 2072,124.1,135.88,5.92,-5.92,-3.76
RL4 2073,124.3,136.22,5.93,-6.49,-3.55
RL4 2074,124.5,136.55,5.95,-6.65,-4.14
RL4 2075,124.7,136.89,5.98,-6.79,-4.29
RL4 2076,124.9,137.22,6.00,-7.16,-4.42
RL4 2077,125.1,137.56,6.02,-7.11,-4.28
RL4 2078,125.3,137.89,6.04,-7.02,-4.18
RL4 2079,125.5,138.23,6.06,-6.95,-3.91
RL4 2080,125.7,138.56,6.08,-7.02,-4.00
RL4 2081,125.9,138.90,6.09,-7.16,-3.92
RL4 2082,126.1,139.23,6.11,-7.12,-4.03
RL4 2083,126.3,139.57,6.12,-6.70,-4.08
RL4 2084,126.5,139.90,6.14,-6.41,-3.90
RL4 2085,126.7,140.06,6.15,-6.33,-3.95
RL4 2086,126.9,140.21,6.16,-6.30,-3.69
RL4 2087,127.1,140.37,6.16,-6.42,-3.79
RL4 2088,127.3,140.53,6.17,-5.95,-3.86
RL4 2089,127.5,140.68,6.18,-5.53,-3.85
RL4 2090,127.7,140.84,6.19,-5.97,-3.98
RL4 2091,127.9,141.00,6.19,-6.39,-4.00
RL4 2092,128.1,141.15,6.20,-6.64,-4.03
RL4 2093,128.3,141.31,6.21,-6.53,-4.06
RL4 2094,128.5,141.47,6.22,-6.62,-4.13
RL4 2095,128.7,141.62,6.23,-6.74,-4.09
RL4 2096,128.9,141.78,6.23,-6.62,-4.18
RL4 2097,129.1,141.94,6.24,-6.73,-4.31
RL4 2098,129.3,142.09,6.25,-6.90,-4.49
RL4 2099,129.5,142.25,6.26,-6.75,-4.41
RL4 2100,129.7,142.41,6.26,-6.68,-4.14
RL4 2101,129.9,142.57,6.27,-6.55,-3.91
RL4 2102,130.1,142.72,6.28,-6.69,-4.15
RL4 2103,130.3,142.88,6.29,-6.81,-4.19
RL4 2104,130.5,143.04,6.29,-7.26,-4.27
RL4 2105,130.7,143.19,6.30,-7.24,-4.31
RL4 2106,130.9,143.35,6.31,-7.02,-4.24
RL4 2107,131.1,143.51,6.32,-7.38,-4.26
RL4 2108,131.3,143.66,6.32,-7.71,-4.44
RL4 2109,131.5,143.82,6.33,-7.43,-4.12
RL4 2110,131.7,143.98,6.34,-7.78,-4.04
RL4 2111,131.9,144.13,6.35,-7.70,-4.11
RL4 2112,132.1,144.29,6.36,-7.47,-4.19
RL4 2113,132.3,144.45,6.36,-7.22,-4.45
RL4 2114,132.5,144.60,6.37,-7.17,-4.34
RL4 2115,132.7,144.76,6.38,-7.18,-4.15
RL4 2116,132.9,144.92,6.39,-7.33,-4.34
RL4 2117,133.1,145.07,6.40,-7.31,-4.22
RL4 2118,133.3,145.23,6.41,-7.68,-4.36
RL4 2119,133.5,145.39,6.41,-7.68,-4.52
RL4 2120,133.7,145.54,6.42,-7.71,-4.43
RL4 2121,133.9,145.70,6.43,-8.20,-4.64
RL4 2122,134.1,145.97,6.44,-8.10,-4.56
RL4 2123,134.3,146.23,6.45,-7.84,-4.53
RL4 2124,134.5,146.50,6.47,-7.40,-4.26
RL4 2125,134.7,146.77,6.48,-7.38,-4.33
RL4 2126,134.9,147.03,6.49,-7.51,-4.31
RL4 2127,135.1,147.30,6.50,-7.50,-4.37
RL4 2128,135.3,147.50,6.51,-7.34,-4.20
RL4 2129,135.5,147.70,6.52,-7.30,-4.10
RL4 2130,135.7,147.90,6.53,-7.51,-4.16
RL4 2131,135.9,148.10,6.54,-7.52,-4.19
RL4 2132,136.1,148.30,6.55,-7.29,-4.21
RL4 2133,136.3,148.50,6.56,-7.32,-4.23
RL4 2134,136.5,148.70,6.58,-7.31,-4.18
RL4 2135,136.7,148.90,6.59,-7.27,-4.66
RL4 2136,136.9,149.10,6.60,-7.44,-4.67
RL4 2137,137.1,149.30,6.61,-7.75,-4.60
RL4 2138,137.3,149.50,6.62,-8.05,-4.52
RL4 2139,137.5,149.70,6.63,-8.30,-4.64
RL4 2140,137.7,149.84,6.64,-8.24,-4.50
RL4 2141,137.9,149.98,6.65,-7.92,-4.21
RL4 2142,138.1,150.12,6.65,-7.61,-4.22
RL4 2143,138.3,150.27,6.66,-8.25,-4.08
RL4 2144,138.5,150.41,6.67,-8.40,-4.12
RL4 2145,138.7,150.55,6.68,-7.82,-4.08
RL4 2146,138.9,150.69,6.69,-6.65,-4.08
RL4 2147,139.1,150.83,6.69,-6.07,-3.84
RL4 2148,139.3,150.97,6.70,-7.24,-4.28
RL4 2149,139.5,151.11,6.71,-7.38,-4.12
RL4 2150,139.7,151.26,6.72,-7.53,-4.42
RL4 2151,139.9,151.40,6.73,-7.70,-4.28
RL4 2152,140.1,151.54,6.73,-8.20,-4.40
RL4 2153,140.3,151.68,6.74,-8.62,-4.72
RL4 2154,140.5,151.82,6.75,-8.72,-4.73
RL4 2155,140.7,151.96,6.76,-8.47,-4.55
RL4 2156,140.9,152.10,6.77,-8.20,-4.54
RL4 2157,141.1,152.24,6.78,-8.48,-4.77
RL4 2158,141.3,152.39,6.79,-8.16,-4.43
RL4 2159,141.5,152.53,6.80,-7.83,-3.93
RL4 2160,141.7,152.67,6.81,-7.96,-4.24
RL4 2161,141.9,152.81,6.82,-7.94,-4.28
RL4 2162,142.1,152.95,6.84,-7.90,-4.10
RL4 2163,142.3,153.09,6.85,-7.82,-3.89
RL4 2164,142.5,153.23,6.86,-7.64,-4.18
RL4 2165,142.7,153.38,6.87,-7.41,-4.54
RL4 2166,142.9,153.52,6.88,-7.36,-4.47
RL4 2167,143.1,153.66,6.89,-7.55,-4.44
RL4 2168,143.3,153.80,6.90,-7.73,-4.20
RL4 2169,143.5,153.94,6.91,-7.59,-4.44
RL4 2170,143.7,154.08,6.92,-7.40,-4.33
RL4 2171,143.9,154.22,6.93,-7.10,-4.27
RL4 2172,144.1,154.36,6.94,-6.93,-3.99
RL4 2173,144.3,154.51,6.95,-7.13,-3.81
RL4 2174,144.5,154.65,6.96,-7.30,-3.97
RL4 2175,144.7,154.79,6.97,-7.36,-4.24
RL4 2176,144.9,154.93,6.98,-6.50,-4.18
RL4 2177,145.1,155.07,6.98,-6.23,-4.13
RL4 2178,145.3,NA,6.99,-7.06,-4.24
RL4 2179,145.5,NA,7.00,-7.38,-4.43
RL4 2180,145.7,NA,7.01,-7.63,-4.34
RL4 2181,145.9,NA,7.02,-7.87,-4.23
RL4 2182,146.1,NA,7.03,-7.47,-4.03
RL4 2183,146.3,NA,7.04,-6.25,-3.80
RL4 2184,146.5,NA,7.05,-5.88,-3.61
RL4 2185,146.7,NA,7.06,-6.35,-3.69
RL4 2186,146.9,NA,7.07,-6.97,-4.16
RL4 2187,147.1,NA,7.08,-7.51,-4.32
RL4 2188,147.3,NA,7.09,-7.19,-4.18
RL4 2189,147.5,NA,7.10,-6.85,-3.93
RL4 2190,147.7,NA,7.11,-6.52,-4.14
RL4 2191,147.9,NA,7.12,-7.03,-4.25
RL4 2192,148.1,NA,7.13,-7.60,-4.34
RL4 2193,148.3,NA,7.14,-7.43,-4.33
RL4 2194,148.5,NA,7.15,-7.32,-4.43
RL4 2195,148.7,NA,7.16,-7.76,-4.29
RL4 2196,148.9,NA,7.17,-8.13,-4.52
RL4 2197,149.1,NA,7.18,-6.97,-4.01
RL4 2198,149.3,NA,7.19,-6.38,-3.93
RL4 2199,149.5,NA,7.20,-6.92,-3.85
RL4 2200,149.7,NA,7.21,-7.96,-4.16
RL4 2201,149.9,NA,7.22,-8.27,-4.32
RL4 2202,150.1,NA,7.23,-7.88,-4.21
RL4 2203,150.3,NA,7.24,-7.30,-4.35
RL4 2204,150.5,NA,7.25,-8.04,-4.47
RL4 2205,150.7,NA,7.26,-7.36,-4.29
RL4 2206,150.9,NA,7.27,-5.26,-3.77
RL4 2207,151.1,NA,7.28,-4.35,-3.72
RL4 2208,151.3,NA,7.29,-4.93,-3.68
RL4 2209,151.5,NA,7.30,-6.31,-3.82
RL4 2210,151.7,NA,7.31,-7.27,-4.22
RL4 2211,151.9,NA,7.32,-7.62,-4.39
RL4 2212,152.1,NA,7.33,-7.08,-3.78
